# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
1.4700000e+06	2.8800000e+02	4.6552428e+18	1.8510619e-01
1.4800000e+06	2.8800000e+02	4.6021292e+18	1.8299423e-01
1.4900000e+06	2.8800000e+02	4.5496216e+18	1.8090638e-01
1.5000000e+06	2.8800000e+02	4.4977130e+18	1.7884234e-01
1.5100000e+06	2.8800000e+02	4.4463967e+18	1.7680185e-01
1.5200000e+06	2.8800000e+02	4.3956659e+18	1.7478465e-01
1.5300000e+06	2.8800000e+02	4.3455140e+18	1.7279046e-01
1.5400000e+06	2.8800000e+02	4.2959342e+18	1.7081902e-01
1.5500000e+06	2.8800000e+02	4.2469201e+18	1.6887007e-01
1.5600000e+06	2.8800000e+02	4.1984652e+18	1.6694336e-01
1.5700000e+06	2.8800000e+02	4.1505631e+18	1.6503864e-01
1.5800000e+06	2.8800000e+02	4.1032076e+18	1.6315564e-01
1.5900000e+06	2.8800000e+02	4.0563924e+18	1.6129413e-01
1.6000000e+06	2.8800000e+02	4.0101114e+18	1.5945386e-01
1.6100000e+06	2.8800000e+02	3.9643583e+18	1.5763458e-01
1.6200000e+06	2.8800000e+02	3.9191273e+18	1.5583606e-01
1.6300000e+06	2.8800000e+02	3.8744123e+18	1.5405807e-01
1.6400000e+06	2.8800000e+02	3.8302075e+18	1.5230035e-01
1.6500000e+06	2.8800000e+02	3.7865071e+18	1.5056269e-01
1.6600000e+06	2.8800000e+02	3.7433053e+18	1.4884486e-01
1.6700000e+06	2.8800000e+02	3.7005963e+18	1.4714663e-01
1.6800000e+06	2.8800000e+02	3.6583747e+18	1.4546777e-01
1.6900000e+06	2.8800000e+02	3.6166348e+18	1.4380807e-01
1.7000000e+06	2.8800000e+02	3.5753711e+18	1.4216730e-01
1.7100000e+06	2.8800000e+02	3.5345782e+18	1.4054526e-01
1.7200000e+06	2.8800000e+02	3.4942507e+18	1.3894172e-01
1.7300000e+06	2.8800000e+02	3.4543833e+18	1.3735647e-01
1.7400000e+06	2.8800000e+02	3.4149708e+18	1.3578932e-01
1.7500000e+06	2.8800000e+02	3.3760080e+18	1.3424004e-01
1.7600000e+06	2.8800000e+02	3.3374897e+18	1.3270844e-01
1.7700000e+06	2.8800000e+02	3.2994109e+18	1.3119431e-01
1.7800000e+06	2.8800000e+02	3.2617665e+18	1.2969746e-01
1.7900000e+06	2.8800000e+02	3.2245517e+18	1.2821769e-01
1.8000000e+06	2.8800000e+02	3.1877614e+18	1.2675480e-01
1.8100000e+06	2.8800000e+02	3.1513909e+18	1.2530860e-01
1.8200000e+06	2.8800000e+02	3.1154354e+18	1.2387890e-01
1.8300000e+06	2.8800000e+02	3.0798901e+18	1.2246552e-01
1.8400000e+06	2.8800000e+02	3.0447503e+18	1.2106826e-01
1.8500000e+06	2.8800000e+02	3.0100115e+18	1.1968694e-01
1.8600000e+06	2.8800000e+02	2.9756690e+18	1.1832138e-01
1.8700000e+06	2.8800000e+02	2.9417184e+18	1.1697140e-01
1.8800000e+06	2.8800000e+02	2.9081551e+18	1.1563683e-01
