# Formed by reprocess_s8_optical_parameters.py, from digitizing Figure S1 of Tian+2010
# wav(microns)	N_r	N_i
3.7200000e-01	2.0785624e+00	1.7391669e-02
3.7300000e-01	2.0770860e+00	1.6526895e-02
3.7400000e-01	2.0756096e+00	1.5773858e-02
3.7500000e-01	2.0737043e+00	1.5065681e-02
3.7600000e-01	2.0717788e+00	1.4423647e-02
3.7700000e-01	2.0698533e+00	1.3773903e-02
3.7800000e-01	2.0679966e+00	1.3109112e-02
3.7900000e-01	2.0663560e+00	1.2504166e-02
3.8000000e-01	2.0647155e+00	1.1977254e-02
3.8100000e-01	2.0630749e+00	1.1431605e-02
3.8200000e-01	2.0614581e+00	1.0859503e-02
3.8300000e-01	2.0599261e+00	1.0336340e-02
3.8400000e-01	2.0583940e+00	9.8602283e-03
3.8500000e-01	2.0568620e+00	9.4447351e-03
3.8600000e-01	2.0553299e+00	9.0556069e-03
3.8700000e-01	2.0535938e+00	8.5665725e-03
3.8800000e-01	2.0517829e+00	8.0068737e-03
3.8900000e-01	2.0499720e+00	7.6414859e-03
3.9000000e-01	2.0481611e+00	7.3366380e-03
3.9100000e-01	2.0464163e+00	6.6195205e-03
3.9200000e-01	2.0447101e+00	6.3160400e-03
3.9300000e-01	2.0430039e+00	6.0137017e-03
3.9400000e-01	2.0412977e+00	5.7122164e-03
3.9500000e-01	2.0397375e+00	5.4571125e-03
3.9600000e-01	2.0382225e+00	5.2185963e-03
3.9700000e-01	2.0367076e+00	4.9768535e-03
3.9800000e-01	2.0351926e+00	4.7341086e-03
3.9900000e-01	2.0336882e+00	4.5025727e-03
4.0000000e-01	2.0324110e+00	4.2758198e-03
4.0100000e-01	2.0311339e+00	4.0816833e-03
4.0200000e-01	2.0298567e+00	3.8881472e-03
4.0300000e-01	2.0285795e+00	3.7172871e-03
4.0400000e-01	2.0272879e+00	3.5455953e-03
4.0500000e-01	2.0258556e+00	3.3697547e-03
4.0600000e-01	2.0244233e+00	3.2052120e-03
4.0700000e-01	2.0229910e+00	3.0660438e-03
4.0800000e-01	2.0215587e+00	2.9284489e-03
4.0900000e-01	2.0201265e+00	2.7952023e-03
4.1000000e-01	2.0191698e+00	2.6665652e-03
4.1100000e-01	2.0182602e+00	2.5446480e-03
4.1200000e-01	2.0173506e+00	2.4285396e-03
4.1300000e-01	2.0164410e+00	2.3187447e-03
4.1400000e-01	2.0155036e+00	2.2122736e-03
4.1500000e-01	2.0138685e+00	2.1109821e-03
4.1600000e-01	2.0122333e+00	2.0162055e-03
4.1700000e-01	2.0105982e+00	1.9266527e-03
4.1800000e-01	2.0098003e+00	1.8365018e-03
4.1900000e-01	2.0095719e+00	1.7459593e-03
4.2000000e-01	2.0084665e+00	1.6621907e-03
4.2100000e-01	2.0063334e+00	1.5820105e-03
4.2200000e-01	2.0042003e+00	1.5148939e-03
4.2300000e-01	2.0025226e+00	1.4508304e-03
4.2400000e-01	2.0010347e+00	1.3865699e-03
4.2500000e-01	1.9995468e+00	1.3222558e-03
4.2600000e-01	1.9981398e+00	1.2576407e-03
4.2700000e-01	1.9967606e+00	1.1929144e-03
4.2800000e-01	1.9953813e+00	1.1444310e-03
4.2900000e-01	1.9940020e+00	1.0962530e-03
4.3000000e-01	1.9926082e+00	1.0456374e-03
4.3100000e-01	1.9911176e+00	9.9442520e-04
4.3200000e-01	1.9896271e+00	9.4957170e-04
4.3300000e-01	1.9881365e+00	9.0537760e-04
4.3400000e-01	1.9866459e+00	8.6529422e-04
4.3500000e-01	1.9853433e+00	8.2521592e-04
4.3600000e-01	1.9840709e+00	7.8613964e-04
4.3700000e-01	1.9827984e+00	7.4839490e-04
4.3800000e-01	1.9815260e+00	7.1451379e-04
4.3900000e-01	1.9802536e+00	6.8076049e-04
4.4000000e-01	1.9789856e+00	6.4751588e-04
4.4100000e-01	1.9777287e+00	6.1648073e-04
4.4200000e-01	1.9764718e+00	5.9063444e-04
4.4300000e-01	1.9752149e+00	5.5749815e-04
4.4400000e-01	1.9739580e+00	5.1459048e-04
4.4500000e-01	1.9727011e+00	4.7621884e-04
4.4600000e-01	1.9714998e+00	4.5156939e-04
4.4700000e-01	1.9703302e+00	4.2862263e-04
4.4800000e-01	1.9691606e+00	4.0738107e-04
4.4900000e-01	1.9679910e+00	3.8907285e-04
4.5000000e-01	1.9668214e+00	3.7274087e-04
4.5100000e-01	1.9658700e+00	3.5624608e-04
4.5200000e-01	1.9658107e+00	3.3959572e-04
